quantity_name;unit;depth_from[m];depth_to[m];value;description;quantity_source_name;quantity_source_description;quantity_source_provider;quantity_source_version;quantity_source_resolution;quantity_source_timerange;quantity_source_url;
saturation;m^3*m^-3;0.00;0.30;0.49;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
clay fraction;% weight;0.00;0.30;4.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
organic carbon;% weight;0.00;0.30;2.18;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
sand fraction;% weight;0.00;0.30;87.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
silt fraction;% weight;0.00;0.30;9.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
bulk density;g/cm3;0.05;0.05;1.30;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.05;0.05;0.50;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.05;0.05;5.70;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.05;0.05;2.62;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.05;0.05;88.10;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.05;0.05;6.20;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
bulk density;g/cm3;0.10;0.10;1.44;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.10;0.10;0.47;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.10;0.10;5.30;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.10;0.10;1.59;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.10;0.10;88.40;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.10;0.10;6.30;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
bulk density;g/cm3;0.20;0.20;1.61;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.20;0.20;0.47;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.20;0.20;4.70;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.20;0.20;1.66;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.20;0.20;89.80;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.20;0.20;5.50;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
bulk density;g/cm3;0.30;0.30;1.41;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.30;0.30;0.46;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.30;0.30;5.00;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.30;0.30;1.36;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.30;0.30;87.80;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.30;0.30;7.20;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
saturation;m^3*m^-3;0.30;1.00;0.42;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
clay fraction;% weight;0.30;1.00;4.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
organic carbon;% weight;0.30;1.00;0.39;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
sand fraction;% weight;0.30;1.00;88.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
silt fraction;% weight;0.30;1.00;8.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2000;ESA CCI Land Cover;ESA;2000-v1.6.1;300m;1998-2002;http://www.esa-landcover-cci.org/;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2005;ESA CCI Land Cover;ESA;2005-v1.6.1;300m;2003-2007;http://www.esa-landcover-cci.org/;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2010;ESA CCI Land Cover;ESA;2010-v1.6.1;300m;2008-2012;http://www.esa-landcover-cci.org/;
climate classification;;;;Cfb;Temperate - Without dry season - Warm Summer;koeppen_geiger_2007;Koeppen-Geiger Climate Classification;None;Peel2007;0.1°;None;http://www.hydrol-earth-syst-sci.net/11/1633/2007/;
climate classification;;;;Cfa;Temperate - Without dry season - Hot Summer;koeppen_geiger_2017;Version 2017 Koeppen-Geiger Climate Classification;None;Rubel2017;0.08°;None;http://koeppen-geiger.vu-wien.ac.at/pdf/Paper_2017.pdf;
