quantity_name;unit;depth_from[m];depth_to[m];value;description;quantity_source_name;quantity_source_description;quantity_source_provider;quantity_source_version;quantity_source_resolution;quantity_source_timerange;quantity_source_url;
saturation;m^3*m^-3;0.00;0.30;0.46;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
clay fraction;% weight;0.00;0.30;24.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
organic carbon;% weight;0.00;0.30;1.61;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
sand fraction;% weight;0.00;0.30;42.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
silt fraction;% weight;0.00;0.30;34.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
bulk density;g/cm3;0.05;0.05;1.26;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.05;0.05;0.52;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.05;0.05;46.40;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.05;0.05;3.67;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.05;0.05;26.20;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.05;0.05;27.40;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
bulk density;g/cm3;0.10;0.10;1.54;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.10;0.10;0.52;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.10;0.10;49.20;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.10;0.10;3.21;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.10;0.10;23.20;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.10;0.10;27.60;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
bulk density;g/cm3;0.20;0.20;1.24;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.20;0.20;0.51;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.20;0.20;45.50;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.20;0.20;2.68;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.20;0.20;26.80;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.20;0.20;27.70;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
bulk density;g/cm3;0.30;0.30;1.24;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.30;0.30;0.50;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.30;0.30;42.80;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.30;0.30;2.62;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.30;0.30;31.50;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.30;0.30;25.70;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2000;ESA CCI Land Cover;ESA;2000-v1.6.1;300m;1998-2002;http://www.esa-landcover-cci.org/;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2005;ESA CCI Land Cover;ESA;2005-v1.6.1;300m;2003-2007;http://www.esa-landcover-cci.org/;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2010;ESA CCI Land Cover;ESA;2010-v1.6.1;300m;2008-2012;http://www.esa-landcover-cci.org/;
climate classification;;;;Csa;Temperate - Dry Summer - Hot Summer;koeppen_geiger_2007;Koeppen-Geiger Climate Classification;None;Peel2007;0.1°;None;http://www.hydrol-earth-syst-sci.net/11/1633/2007/;
climate classification;;;;Csa;Temperate - Dry Summer - Hot Summer;koeppen_geiger_2017;Version 2017 Koeppen-Geiger Climate Classification;None;Rubel2017;0.08°;None;http://koeppen-geiger.vu-wien.ac.at/pdf/Paper_2017.pdf;
